84431269	環境省		環境省_静岡県と公益社団法人日本植物園協会および環境省自然環境局新宿御苑管理事務所は、「静岡県産絶滅危惧植物の生息域外保全連 携活動」を実施のための覚書を取り交わします。	<政府活動>,<日本>,<その他>	静岡県と公益社団法人日本植物園協会および環境省自然環境局新宿御苑管理事務所は、「静岡県産絶滅危惧植物の生息域外保全連 携活動」を実施のための覚書を取り交わします。	<政府活動>,<日本>,<その他>
88047170	環境省		令和4年8月の石綿健康被害判定小委員会・分科会の開催について	<政府活動>,<日本>,<国際会議・会合・会談>		
88033290	環境省		令和4年度環境技術実証事業における実証機関公募について		環境省では、令和４年度の環境技術実証事業について、以下の実証対象技術の実証機関を令和４年７月19日（火）から同年７月29日（金）までの間公募します。	<政府活動>,<日本>,<補助金・交付金>
81105591	環境省		環境省_令和4年度自然環境保全基礎調査巨樹・巨木林調査に係る情報収集及び巨樹・巨木林データベース運営支援等業務	<政府活動>,<日本>,<その他>	次のとおり一般競争入札に付します。	<政府活動>,<日本>,<その他>
79168931	環境省		環境省_令和3年度「二国間クレジット制度資金支援事業のうち水素製造・利活用第三国連携事業」の採択案件の決定について	<政府活動>,<日本>,<法整備・規制>	途上国等において優れた脱炭素技術等を活用して温室効果ガス（GHG）を削減するとともに、我が国の貢献に応じてJCMクレジットの獲得も目指す二国間クレジット制度（JCM）の推進に向けて、太陽光発電や風力発電等の再生可能エネルギー（以下「再エネ」という。）が豊富な第三国において、再エネ由来の水素を製造し、パートナー国（島嶼国等）への輸送・利活用を促進する実証事業の一部を補助する「二国間クレジット制度資金支援事業のうち水素製造・利活用第三国連携事業」について案件募集（二次公募）を行い、応募のあった案件の中から１件を選定しました。	<政府活動>,<日本>,<法整備・規制>,<施行>
85992969	環境省		環境省_北海道における高病原性鳥インフルエンザウイルス検査陽性事例に係る野鳥監視重点区域の解除について	<政府活動>,<日本>,<法整備・規制>,<廃止>	北海道根室市における高病原性鳥インフルエンザウイルスの検出（野鳥国内106例目）を受け、５月９日（月）に野鳥監視重点区域を指定し、野鳥監視を強化してきました。その後、野鳥監視重点区域内において、野鳥の大量死等の異常は確認されなかったため、令和４年６月３日（金）24時に当該区域を解除しました。	<政府活動>,<日本>,<法整備・規制>
82056182	環境省		環境省_岩手県の死亡野鳥における高病原性鳥インフルエンザウイルス検査陽性について		岩手県久慈市で令和４年２月21日（月）及び22日（火）に回収され、２月28日（月）に遺伝子検査でＡ型鳥インフルエンザウイルス陽性となったオオハクチョウ２羽及びハシブトガラス１羽について、３月１日（火）に３羽全てから高病原性鳥インフルエンザウイルス（Ｈ５亜型）が検出された旨の報告がありました。	<政府活動>,<日本>,<その他>
80336912	環境省		環境省_「福島、その先の環境へ。」シンポジウムの開催について	<政府活動>,<日本>,<その他>	「福島、その先の環境へ。」シンポジウムの開催について	<政府活動>,<日本>,<その他>
84391833	環境省		環境省_北海道の死亡野鳥における高病原性鳥インフルエンザウイルス検査陽性について		北海道様似町で令和４年４月20日（水）にクマタカ１羽の死亡個体が、北海道紋別市で令和４年４月22日（金）にハシブトガラス１羽の死亡個体が回収され、簡易検査を実施したところ、それぞれＡ型鳥インフルエンザウイルスの陽性反応が確認された旨の報告がありました。上記のクマタカ及びハシブトガラスについて、北海道大学で遺伝子検査を実施したところ、４月29日（金）に高病原性鳥インフルエンザウイルス（Ｈ５Ｎ１亜型）が検出された旨の報告がありました。	<政府活動>,<日本>,<その他>
81780621	環境省		環境省_令和3年度クマ類保護及び管理に関する検討会の開催について	<政府活動>,<日本>,<法整備・規制>,<検討>	環境省では、特定鳥獣であるクマ類について、生息や被害の現状の確認や保護・管理の取組状況の評価と進め方に関する検討を行うことを目的とした検討会を令和４年３月１日（火）に開催します。 なお、本検討会は、新型コロナウイルスの感染拡大防止の観点からWEB会議形式で開催します。	<政府活動>,<日本>,<法整備・規制>,<検討>
86327877	環境省		環境省_令和4年度水環境中の要調査項目等存在状況調査業務		次のとおり一般競争入札に付します。	<政府活動>,<日本>,<その他>
85119304	環境省		環境省_青森県における高病原性鳥インフルエンザの疑似患畜の確認に係る野鳥監視重点区域の解除について	<政府活動>,<日本>,<法整備・規制>,<廃止>	青森県横浜町の養鶏場における高病原性鳥インフルエンザの疑似患畜の確認事例（家きん国内18,19例目）を受け、令和４年４月８日（金）に野鳥監視重点区域を指定し、野鳥監視を強化してきました。その後、いずれの区域内において野鳥の大量死等の異常は確認されなかったため、令和４年５月17日（火）24時に当該区域を解除しました。	<政府活動>,<日本>,<法整備・規制>
82849433	環境省		環境省_令和4年度政府実行計画の施行状況等関連調査業務		次のとおり一般競争入札に付します。	<政府活動>,<日本>,<その他>
82559715	環境省		環境省_サンゴ礁生態系保全行動計画2022-2030の策定及び意見の募集の結果について		環境省では、日本のサンゴ礁生態系を保全していくため、「サンゴ礁生態系保全行動計画2022-2030」を策定しましたので、パブリックコメントの結果とともにお知らせします。	<政府活動>,<日本>,<目標・計画・指針>
82925154	環境省		環境省_モニタリング調整会議の開催について	<政府活動>,<日本>,<国際会議・会合・会談>	環境省及び原子力規制庁は、モニタリング調整会議を令和４年３月30日（水）にオンライン会議形式（ライブ配信）にて開催します。	<政府活動>,<日本>,<国際会議・会合・会談>
84696300	環境省		環境省_北海道釧路市の死亡野鳥におけるA型鳥インフルエンザ遺伝子検査陽性について		北海道釧路市で令和４年４月29日（金）にトビ１羽が衰弱して回収され、その後死亡した個体について、遺伝子検査を実施したところ、５月６日（金）にＡ型鳥インフルエンザウイルス（Ｈ５亜型）の陽性反応が確認された旨の報告がありました。この報告を受け、回収地点の周辺10km圏内を野鳥監視重点区域に指定し、野鳥の監視を強化します。	<政府活動>,<日本>,<その他>
85174876	環境省		環境省_北海道における高病原性鳥インフルエンザウイルス検査陽性事例に係る野鳥監視重点区域の解除について	<政府活動>,<日本>,<法整備・規制>,<廃止>	北海道様似町における高病原性鳥インフルエンザウイルスの検出（野鳥国内97例目）を受け、令和４年４月22日（金）に野鳥監視重点区域を指定し、野鳥監視を強化してきました。その後、当該区域内において野鳥の大量死等の異常は確認されなかったため、令和４年５月18日（水）24時に当該区域を解除しました。	<政府活動>,<日本>,<法整備・規制>
85028072	環境省		環境省_中央環境審議会循環型社会部会の開催について	<政府活動>,<日本>,<国際会議・会合・会談>	１．中央環境審議会循環型社会部会（第41回）を以下のとおり開催しますのでお知らせします。２．なお、本部会は新型コロナウイルスの感染拡大防止のため、WEB会議方式（ライブ配信）により開催します	<政府活動>,<日本>,<国際会議・会合・会談>
85066236	環境省		環境省_令和4年度我が国の水銀対策手法の国際展開に係る調査等業務		次のとおり一般競争入札に付します。	<政府活動>,<日本>,<その他>
84921630	環境省		環境省_北海道での高病原性鳥インフルエンザ発生に伴う野鳥緊急調査の結果について		北海道における高病原性鳥インフルエンザの発生（野鳥国内100,102,103例目）を受けて、北海道が各野鳥監視重点区域内における現地の野鳥の生息状況などの調査を実施しました。それぞれ実施した調査において、野鳥の大量死等の異常は確認されませんでした。	<政府活動>,<日本>,<その他>
